Q	NPV	Sol	Cap	NVP-sol
nm-1				
0.29538655	381.552680638098	14.2958343250375	10.1097677843563	367.256846313061
0.3005538	358.324241476384	14.2177694417137	10.138358721847	344.106472034671
0.30572101	336.284860807007	13.1800227660785	9.67139135997144	323.104838040928
0.31088823	315.242189552706	14.3235437470896	9.81886525244711	300.918645805616
0.31605548	294.134419768533	14.0318305996792	9.96164484841272	280.102589168854
0.32122269	281.321069752893	13.4048455528535	9.69995105768945	267.91622420004
0.32638991	261.210397247419	13.621439437057	9.50529707536223	247.588957810362
0.33155715	245.188983421958	13.9150504475604	9.40262265329803	231.273932974398
0.33672437	231.375120425399	14.3406338283231	9.57774478593318	217.034486597076
0.34189159	222.519968720676	13.5568106793605	9.54387492190057	208.963158041315
0.34705883	211.508558023147	13.0277368448285	9.67298533218292	198.480821178318
0.35222605	198.254350954019	12.9928307549025	9.39392401297194	185.261520199117
0.35739326	188.051485767907	13.5079018988979	9.4341666418732	174.54358386901
0.36256051	176.573425086018	14.050517410876	9.47505414893933	162.522907675142
0.36772773	167.506362214576	13.0636643038237	9.23385483918955	154.442697910753
0.37289494	160.960857053488	13.3540420137631	9.3081689030377	147.606815039725
0.37806216	152.455589615264	13.9947550059502	9.54601082978787	138.460834609314
0.3832294	146.443922427276	13.0694153257101	9.10226250334712	133.374507101565
0.38839662	141.033512668126	12.8989175764475	9.01432834488709	128.134595091679
0.39356384	131.962108226462	12.8889734568221	8.98497842968076	119.07313476964
0.39873108	128.12863934939	13.590717648885	9.08680372497099	114.537921700505
0.4038983	120.264329058492	13.7209442748487	9.52057927464223	106.543384783644
0.40906551	116.12987175477	13.9369778030734	8.98409389783107	102.192893951697
0.41423276	110.42096340319	13.0471697625084	9.12499851239178	97.3737936406821
0.41939998	105.188207694714	13.6774791742122	9.29345630894648	91.5107285205016
0.42456719	102.9498842665	13.5693294355047	9.359532742257	89.3805548309951
0.42973444	98.4432780731936	13.6069074351943	8.97441983279283	84.8363706379993
0.43490165	94.2542008132624	13.8369695244994	8.9915448811401	80.417231288763
0.44006887	92.2386299655928	13.9649459305635	9.04798905120347	78.2736840350293
0.44523612	88.1587300594307	13.8609903244166	9.02590907738538	74.2977397350141
0.45040333	83.5090647482014	14.8178434314689	9.03015947160156	68.6912213167325
0.45557055	82.2331060369096	14.8186381745744	8.93358840855672	67.4144678623352
0.46073776	78.6408132624335	15.0048740104517	8.93078292820803	63.6359392519818
0.46590501	75.9126180794495	14.0413923526673	8.912647793877	61.8712257267822
0.47107223	72.5718611197998	13.6671294044601	9.24742182618786	58.9047317153397
0.47623944	72.4239474507351	13.7746049567962	9.43086742435512	58.6493424939389
0.48140669	68.7392555520801	13.7964717752367	9.3776104549106	54.9427837768434
0.4865739	65.8715921176103	13.6196026284473	9.00389664098063	52.251989489163
0.49174112	65.4035658429778	14.0641672271951	8.7488857814406	51.3393986157827
0.49690837	62.8009571473256	13.9289879443266	9.02252982654488	48.871969202999
0.50207555	60.8272036284016	13.4339856159776	9.04776843890393	47.393218012424
0.5072428	58.1708695652174	12.9334609613494	9.15235369373122	45.237408603868
0.51241004	57.6752693149828	14.0077420189372	9.07974993305763	43.6675272960456
0.51757723	55.8263584610572	13.8500015522326	8.82194638659962	41.9763569088246
0.52274448	53.949233656553	13.4893004604957	9.11516274433965	40.4599331960573
0.52791172	51.4416940882077	14.0698194236043	8.94756314896909	37.3718746646034
0.53307891	52.5563384422896	14.2958296683396	8.66741513195085	38.26050877395
0.53824615	51.2021445104786	14.2955973508563	8.84376379756627	36.9065471596223
0.5434134	47.9499837347513	14.1121493247788	8.88589821784535	33.8378344099725
0.54858059	48.5109008445418	13.1130910125731	8.81492309065484	35.3978098319687
0.55374783	45.9696021269941	13.7162751591038	8.76111987147065	32.2533269678902
0.55891508	44.8925223647169	13.5536218761318	8.61046175359257	31.3389004885851
0.56408226	43.5356202690022	13.5952486159259	8.59292657165809	29.9403716530763
0.56924951	42.6050672505474	13.5389615563719	8.64222337925084	29.0661056941755
0.57441676	42.7237948076322	13.1236824132043	8.42343816012615	29.6001123944278
0.57958394	41.2830578667501	13.5255880374605	8.41258442176668	27.7574698292895
0.58475119	39.8249083515796	13.0029890826305	8.3603367945018	26.8219192689491
0.58991843	39.7486055677197	14.155047860506	8.44640459968463	25.5935577072137
0.59508562	39.5645079762277	13.3647213742433	8.30511692600637	26.1997866019844
0.60025287	37.462245229903	12.7619604698091	8.19603150754217	24.700284760094
0.60542011	37.2628476696903	12.508323071351	8.30077147362471	24.7545245983394
0.6105873	36.8697259931186	13.2384989910488	8.29896120317753	23.6312270020698
0.61575454	34.727652173913	13.4679753712423	8.33265731456964	21.2596768026707
0.62092179	35.4758404754457	13.1524168262017	8.20561973758591	22.323423649244
0.62608898	34.6405924304035	12.5340544316242	8.00439707238702	22.1065379987794
0.63125622	33.458346574914	12.7530501371139	7.99890467406504	20.7052964378001
0.63642347	33.518001251173	13.5523376623377	7.96530719109815	19.9656635888353
0.64159065	33.5970272130122	13.6309256480571	8.14724747850406	19.9661015649551
0.6467579	32.9301770409759	13.9303223469757	8.43726756121508	18.9998546940002
0.65192515	32.2028282765092	13.4622662596368	8.21461277557942	18.7405620168725
0.65709233	30.8599430716297	13.2135235680654	8.16932804736545	17.6464195035643
0.66225958	30.8898242101971	12.5298861696073	8.259562048139	18.3599380405898
0.66742676	29.7982715045355	12.8898530553112	8.48206346136681	16.9084184492243
0.67259401	30.3217184860807	12.9488761835774	8.08234447056023	17.3728423025033
0.67776126	29.9155552080075	13.0445050964971	7.91401847609414	16.8710501115104
0.68292844	29.526294025649	12.3872054638589	8.00827794472048	17.1390885617902
0.68809569	29.194467313106	12.7553360583639	8.04126476451162	16.4391312547421
0.69326293	29.1454776352831	12.4995803797796	8.21351536699295	16.6458972555035
0.69843012	27.6805536440413	12.1950137113882	7.81578322572967	15.4855399326531
0.70359737	27.7041851736003	12.2136777565064	8.06333744904942	15.4905074170938
0.70876461	26.1700819518298	12.0053940083821	8.07283002588438	14.1646879434478
0.7139318	26.9395182984048	12.332857660268	7.90352444140311	14.6066606381367
0.71909904	26.4276696903347	12.9939742329384	8.03794144774032	13.4336954573963
0.72426629	26.2344798248358	12.0150851140891	7.77104117699563	14.2193947107467
0.72943348	26.2889377541445	11.8995022507373	7.88528071167177	14.3894355034072
0.73460072	25.612935877385	11.9577037305324	7.84607301181161	13.6552321468526
0.73976797	25.1671041601501	12.3201898897915	7.87022492636339	12.8469142703587
0.74493515	24.7251610885205	12.2022755730325	7.68982952009759	12.5228855154879
0.7501024	24.7284379105411	11.9898209758369	7.65181696468418	12.7386169347042
0.75526965	23.9990797622771	12.3229864955761	7.55078545714201	11.676093266701
0.76043683	24.3087763528308	12.4469203704662	7.75395733539615	11.8618559823646
0.76560408	23.9486800125117	12.8217110777669	7.79136607063164	11.1269689347449
0.77077132	23.9692005004692	12.4654798985875	7.56594269733123	11.5037206018817
0.77593851	23.1973712855802	11.4845392456149	7.5435097140817	11.7128320399653
0.78110576	22.7473919299343	11.3768727686656	7.61533530689358	11.3705191612687
0.786273	22.9304066312168	11.6744300719201	7.65271860402844	11.2559765592967
0.79144019	23.0392261495152	12.4033492006002	7.62649326113475	10.635876948915
0.79660743	22.2394657491398	12.3933310912195	7.51820296926601	9.84613465792028
0.80177468	21.8563597122302	12.3402297304289	7.5425612150784	9.51612998180128
0.80694187	20.7629771660932	11.5478072127076	7.52582428371664	9.2151699533856
0.81210911	21.8650897716609	11.4589827702178	7.55151602154057	10.4061070014431
0.81727636	22.6043665936816	11.8929088839447	7.50997247924786	10.7114577097368
0.82244354	21.454296527995	12.0778320484297	7.50860700365951	9.37646447956534
0.82761079	21.3466499843603	11.8211921146583	7.42440257653744	9.52545786970209
0.83277798	20.9687238035658	11.6368091271279	7.37071702716373	9.33191467643799
0.83794522	21.171775414451	12.2605365550784	7.33030481092499	8.91123885937266
0.84311247	20.7563547075383	12.06073834532	7.20637261610782	8.6956163622183
0.84827965	20.7768614325931	11.839678687846	7.24154205468448	8.93718274474704
0.8534469	21.2877272442915	11.7025146168572	7.32860730118116	9.58521262743428
0.85861415	20.9938411010322	12.0089170590366	7.49760004165303	8.98492404199564
0.86378133	20.2332524241476	12.0487623531847	7.33089851536699	8.18449007096298
0.86894858	20.4487031592118	11.5330630723858	7.09800437356818	8.91564008682598
0.87411582	20.3321889271192	11.4574393335748	7.45867245842135	8.87474959354438
0.87928301	19.7585317485142	11.6096352253324	7.41488099134212	8.1488965231818
0.88445026	19.450544260244	11.8937465721529	7.39531507542174	7.55679768809103
0.8896175	19.5007025336253	11.926908470016	7.33291303442325	7.57379406360923
0.89478469	19.5875964967157	11.75245718425	7.19957082502752	7.83513931246566
0.89995193	19.8113819205505	11.8347348269261	7.22567120883044	7.97664709362445
0.90511918	20.0784585548952	11.2800532933202	7.20422272470322	8.79840526157499
0.91028637	19.3423703472005	11.4424561494283	7.1588924756776	7.89991419777224
0.91545361	18.943084766969	11.6668080923061	7.15910044330725	7.27627667466293
0.92062086	18.2138636221458	11.5567739431883	7.10152197197346	6.65708967895748
0.92578804	19.1229790428527	11.1767439333575	7.1520906845973	7.94623510949519
0.93095529	18.4253650297154	11.8884876080095	6.97855463985005	6.53687742170584
0.93612254	17.2607594619956	11.334025974026	7.08435586563923	5.92673348796965
0.94128972	17.6896427901157	11.7709447922595	7.21015486001606	5.9186979978562
0.94645697	18.2599593368783	11.5108040565013	7.1665209306477	6.74915528037706
0.95162421	18.1727982483578	11.9753800382884	7.14626327690339	6.19741821006943
0.9567914	17.7596872067563	12.1855368137838	7.18973996608253	5.57415039297251
0.96195865	17.9213406318424	11.8836875873131	7.24608907798042	6.03765304452927
0.96712589	18.2374538629966	11.3640989289595	6.86991818154771	6.87335493403707
0.97229308	18.0189990616203	11.1187018161122	7.16359554907619	6.9002972455081
0.97746032	17.3088057553957	11.2739136958659	7.09806670435274	6.0348920595298
0.98262757	17.366494213325	11.338222693641	7.01407723661896	6.02827151968397
0.98779476	16.8467625899281	11.4152180886842	7.1255178364226	5.43154450124383
0.992962	16.6162026900219	11.0362798158017	7.07283314986165	5.57992287422017
0.99812919	16.9432430403503	11.2613607906038	6.98991684270031	5.68188224974651
1.0032965	17.3819211761026	11.0495322605681	6.96263544672875	6.33238891553448
1.0084636	17.2037566468564	11.603654473017	7.0188518639731	5.6001021738394
1.0136309	16.7423672192681	11.7394732757283	7.04964252774389	5.00289394353981
1.0187981	17.1272136377854	11.6289424121695	7.16289681949362	5.49827122561592
1.0239654	16.9982934000626	11.7580353909039	6.94540611704501	5.24025800915864
1.0291326	16.602392868314	11.5126061985823	6.85259379369849	5.08978666973175
1.0342999	16.28503472005	11.7493211569307	6.99095400315373	4.53571356311933
1.039467	16.3208952142634	11.879624359704	6.97443113861533	4.44127085455933
1.0446342	16.9353450109478	11.5308780462565	7.0018090803606	5.40446696469123
1.0498015	17.0674651235533	11.6512780048637	7.09651260004165	5.41618711868967
1.0549687	16.7706837660307	11.3416251875614	7.03438725417274	5.42905857846921
1.060136	17.0508970910228	12.0481616391577	7.00824566362203	5.00273545186518
1.0653032	16.7910290897717	11.6038236663735	6.8390189223766	5.18720542339819
1.0704703	16.492	11.1898240803022	6.92572104370593	5.30217591969783
1.0756376	16.444047544573	11.3407590417551	6.80559801850585	5.10328850281798
1.0808048	15.9642408507976	11.7970207481761	6.7600239504924	4.1672201026215
1.0859721	16.3334832655615	11.5230004656698	6.78001904138526	4.81048279989168
1.0911393	16.3906111979981	11.350154188441	6.89539644759156	5.04045700955708
1.0963064	16.2959968720676	11.6394525792932	6.82972940406415	4.65654429277435
1.1014737	16.0993737879262	11.8368701816112	6.86376811163012	4.26250360631497
1.1066409	15.731655927432	11.6665069591763	6.79161896402963	4.06514896825569
1.1118082	16.4218004379105	11.478698194236	6.74882835976317	4.9431022436745
1.1169754	16.3533562715045	11.1288368603508	6.72027000089256	5.22451941115373
1.1221427	16.4087826086957	10.9988756661665	6.76115036743923	5.40990694252915
1.1273098	15.757777916797	10.8819790966006	6.91244205765969	4.87579882019639
1.132477	15.5617860494213	11.1208061261448	6.86402978191663	4.44097992327656
1.1376443	15.6790322177041	10.9528338593677	6.9741367409479	4.72619835833637
1.1428115	15.6852023772287	11.062924406271	6.80022626521079	4.62227797095763
1.1479788	15.4750197059744	11.2247782894396	6.8739756329773	4.25024141653471
1.153146	15.5379918673757	11.3924628757697	6.81717815596085	4.14552899160601
1.1583132	15.7247275570848	11.3080033114296	6.82427940257654	4.41672424565516
1.1634804	15.4238730059431	11.3365240337352	6.7152649430246	4.08734897220788
1.1686476	15.8671642164529	11.6029896000414	6.54359510279373	4.26417461641153
1.1738149	15.6358273381295	11.3855290526207	6.55021332301925	4.25029828550881
1.1789821	15.2868983421958	11.5533114296063	6.62518922376603	3.73358691258956
1.1841494	15.1221651548327	11.7539126610441	6.5935097140817	3.36825249378852
1.1893165	15.0287857366281	11.1403342474259	6.66369045848086	3.88845148920221
1.1944838	15.0468983421958	10.9231334402649	6.75769584362262	4.12376490193089
1.199651	14.4483703472005	11.4173063589797	6.73149192228735	3.03106398822084
1.2048182	14.7777385048483	11.4963558752005	6.5187353842492	3.2813826296478
1.2099855	15.0827782295902	10.7970223004088	6.5527336288715	4.28575592918149
1.2151527	15.2773181107288	11.1277735810007	6.47153833566392	4.14954452972814
1.2203199	14.8744660619331	10.682448905676	6.46991312367975	4.19201715625706
1.2254871	15.2443841101032	10.8954933512702	6.52727589182113	4.34889075883298
